LAT_LON,ZIP_CODE_IMPUTED
"40.753304, -73.912575",11103
"40.64531, -73.94608",11226
"40.703857, -73.91851",11237
"40.73273, -73.99382",10003
"40.774807, -73.98442",10023
"40.847168, -73.93394",10033
"40.627037, -74.16483",10303
"40.700245, -73.92089",11237
"40.575573, -73.99432",11224
"40.768887, -73.90691",11105
"40.716644, -73.99582",10013
"40.709305, -73.84369",11375
"40.66279, -73.99887",11232
"40.793472, -73.93726",10029
"40.762974, -73.825325",11354
"40.702255, -73.92008",11237
"40.7179, -73.83202",11415
"40.704716, -73.92875",11237
"40.763374, -73.99647",10036
"40.706062, -73.91626",11237
"40.58096, -73.96466",11235
"40.64993, -73.93312",11203
"40.84932, -73.945145",10033
"40.824562, -73.87259",10472
"40.62156, -74.16849",10303
"40.712727, -73.72899",11429
"40.787846, -73.840096",11356
"40.833813, -73.86275",10472
"40.810093, -73.95309",10027
"40.70537, -73.775826",11423
"40.637012, -74.01515",11220
"40.822388, -73.934296",10035
"40.76286, -73.98941",10019
"40.58524, -74.093414",10305
"40.75455, -73.96252",10155
"40.743275, -73.77572",11364
"40.60307, -74.14047",10314
"40.669704, -73.94774",11225
"40.651974, -73.86542",11239
"40.653862, -74.008286",11220
"40.831978, -73.93515",10035
"40.787857, -73.951614",10029
"40.838425, -73.941696",10032
"40.57944, -73.979614",11224
"40.826275, -73.85971",10472
"40.74254, -73.82631",11355
"40.7591, -73.99215",10036
"40.80988, -73.90308",10455
"40.693497, -73.94594",11206
"40.794052, -73.970375",10025
"40.665676, -73.7483",11422
"40.82949, -73.87326",10472
"40.69019, -73.7771",11434
"40.73594, -73.85887",11368
"40.831146, -73.85384",10472
"40.657867, -73.920815",11212
"40.90021, -73.8865",10471
"40.86446, -73.91895",10034
"40.63363, -74.138985",10302
"40.85876, -73.89736",10458
"40.75927, -73.980896",10111
"40.721985, -73.84523",11375
"40.656708, -74.00537",11209
"40.831684, -73.85562",10462
"40.69309, -73.94296",11206
"40.72586, -73.90017",11378
"40.627365, -74.166565",10303
"40.824757, -73.94052",10039
"40.788055, -73.94433",10029
"40.844753, -73.90539",10457
"40.833233, -73.8282",10465
"40.766552, -73.89476",11370
"40.74143, -73.94794",11101
"40.847576, -73.90633",10457
"40.570877, -74.16984",10314
"40.81689, -73.86383",10473
"40.80582, -73.90926",10454
"40.63948, -74.016174",11220
"40.69764, -73.92932",11221
"40.627052, -74.16485",10303
"40.846764, -73.933784",10033
"40.76874, -73.90881",11105
"40.649395, -73.9417",11203
"40.81801, -73.96149",10031
"40.827198, -73.93668",10039
"40.727192, -73.89328",11378
"40.62194, -73.91753",11234
"40.686085, -73.982666",11217
"40.639996, -74.02442",11209
"40.74105, -73.72587",11426
"40.66484, -73.82229",11420
"40.60729, -74.14086",10314
"40.759163, -73.97675",10111
"40.704773, -74.00975",10004
"40.67477, -73.860306",11417
"40.7441, -73.99565",10011
"40.711685, -73.74672",11429
"40.62135, -74.15131",10314
"40.700836, -73.99495",11242
"40.689194, -73.75365",11412
"40.827774, -73.945755",10031
"40.74121, -73.84277",11368
"40.735424, -73.974754",10010
"40.693905, -73.94892",11206
"40.68837, -73.944916",11221
"40.726135, -73.76318",11423
"40.67834, -73.95521",11238
"40.63926, -73.93777",11203
"40.83997, -73.87792",10461
"40.843678, -73.871956",10460
"40.579052, -73.98415",11224
"40.60345, -74.009",11214
"40.62026, -74.16774",10303
"40.707928, -73.78383",11433
"40.84353, -73.89401",10457
"40.7014, -73.91858",11237
"40.76419, -73.861664",11369
"40.647243, -73.96048",11226
"40.667576, -73.72951",11422
"40.691536, -73.99912",11208
"40.616364, -74.15676",10314
"40.843517, -73.83295",10461
"40.57256, -74.1189",10306
"40.829502, -73.87462",10472
"40.676598, -73.93039",11213
"40.608826, -74.00983",11228
"40.781666, -73.986694",10069
"40.830906, -73.8736",10472
"40.75829, -73.83431",11354
"40.669735, -73.93104",11213
"40.66053, -73.93234",11203
"40.789017, -73.81865",11357
"40.816765, -73.86475",10473
"40.76363, -73.9533",11249
"40.687622, -73.77881",11434
"40.832954, -73.85444",10462
"40.820137, -73.89029",10459
"40.623444, -74.14917",10314
"40.85139, -73.941216",10033
"40.849285, -73.93894",10040
"40.666924, -73.78447",11434
"40.86357, -73.92602",10040
"40.659473, -74.00244",11209
"40.836555, -73.87135",10460
"40.69925, -73.973206",11251
"40.647766, -73.95816",11226
"40.753113, -73.93371",11101
"40.674786, -73.8762",11208
"40.74128, -73.90257",11377
"40.65133, -73.90607",11236
"40.57275, -73.997055",11224
"40.677715, -73.93587",11225
"40.710514, -73.95614",11249
"40.73181, -73.866646",11374
"40.66929, -73.842445",11417
"40.76165, -73.82715",11354
"40.835384, -73.93096",10032
"40.696663, -73.98085",11251
"40.840603, -73.91152",10452
"40.700768, -73.990944",11201
"40.82, -73.95887",10031
"40.683804, -73.833534",11417
"40.74701, -73.977196",10016
"40.810997, -73.905846",10455
"40.62256, -74.163445",10303
"40.67461, -73.80428",11420
"40.74233, -73.83764",11355
"40.83517, -73.8668",10472
"40.726814, -73.83846",11375
"40.63204, -74.154755",10303
"40.828407, -73.84392",10465
"40.822308, -73.93859",10039
"40.628, -74.15178",10303
"40.62505, -74.01913",11209
"40.678596, -73.882416",11208
"40.612488, -73.89707",11236
"40.831974, -73.9235",10456
"40.844833, -73.909386",10457
"40.84506, -73.916855",10452
"40.667313, -73.73926",11422
"40.8239, -73.876526",10472
"40.715958, -73.81275",11432
"40.66336, -73.95975",11225
"40.8166, -73.942764",10030
"40.63932, -74.02356",11220
"40.734688, -73.99998",10014
"40.827206, -73.94246",10031
"40.80616, -73.927986",10454
"40.666573, -73.78632",11434
"40.632664, -74.15353",10303
"40.57279, -73.99597",11224
"40.8382, -73.92371",10452
